Attack,Model,Seed,Precision,Recall,F1,PR-AUC,attack_steps,steps
Time Delay,XGBoost,2,0.1840855106888361,0.03571428571428571,0.05982246236974141,0.1837476185523882,8680,44259
Traffic Congestion Sybil,XGBoost,2,0.9542204703003941,0.8856061561750977,0.9186338654802407,0.9761510178938377,39635,83894
Zero Speed Report,XGBoost,2,0.8555749307621294,0.9917954815695601,0.9186629219670687,0.9955125941474656,8410,44259
Acceleration Multiplication,GRU,2,0.6438653637350705,0.8663257852447042,0.73871068203052,0.8694721297556034,4107,44259
Constant Position Offset,GRU,2,0.8345513358092728,0.7997703788748565,0.8167907603916281,0.8793656980871659,8710,44259
Constant Speed Offset,GRU,2,0.8619361378611252,0.9553932584269663,0.906261657340794,0.9842000985086405,8900,44259
Data Replay,GRU,2,0.8091189155884165,0.7510008006405124,0.7789773401352473,0.8576129576142763,8743,44259
DoS,GRU,2,0.8542383484516735,1.0,0.9213900134952766,0.9999847996357679,8193,44259
Feigned Braking,GRU,2,0.6670090386195563,0.9287757437070938,0.7764227642276422,0.9410553591064413,3496,44259
Position Mirroring,GRU,2,0.7788264904829322,0.5147639841962987,0.6198435054773083,0.735268357185243,9618,44259
Random Position Offset,GRU,2,0.8550243700093332,0.9957729468599034,0.9200468671539362,0.9978837279597031,8280,44259
Random Speed Offset,GRU,2,0.8546810969843438,0.9690254944007625,0.9082686617162637,0.9884068272775629,8394,44259
Reversed Heading,GRU,2,0.8473772909205814,0.9730285437832608,0.9058664564801261,0.9899435017882177,8268,44259
Sudden Constant Speed,GRU,2,0.44424019607843135,0.9229789942711648,0.5997931747673216,0.8891210562923813,1571,44259
Sudden Stop,GRU,2,0.6800219538968166,0.9434010152284263,0.7903465872847119,0.9066783360768117,3940,44259
Time Delay,GRU,2,0.16851311953352768,0.033294930875576036,0.055603655603655606,0.18656904135512417,8680,44259
Traffic Congestion Sybil,GRU,2,0.9541308941132418,0.9000630755645262,0.9263086830078936,0.9735692916097428,39635,83894
Zero Speed Report,GRU,2,0.854351870994418,0.9827586206896551,0.9140676841406769,0.9926350220604072,8410,44259
Acceleration Multiplication,GAT,2,0.7971147240668651,0.8475773070367665,0.8215718668869483,0.9098227382318964,4107,44259
Constant Position Offset,GAT,2,0.9273927392739274,0.6452353616532721,0.7610020311442113,0.7844944745306891,8710,44259
Constant Speed Offset,GAT,2,0.9641025641025641,0.8660674157303371,0.9124593074874223,0.9537774226380401,8900,44259
