Attack,Model,Seed,Precision,Recall,F1,PR-AUC,attack_steps,steps
DoS,GAT,2,0.9730403800475059,1.0,0.9863360019262024,0.9999844168259324,8193,44259
Feigned Braking,GAT,2,0.8943922573299175,0.898741418764302,0.8965615637038093,0.9478689808331396,3496,44259
Position Mirroring,GAT,2,0.8403976975405547,0.1669785818257434,0.2786017867985081,0.48836628261651305,9618,44259
Random Position Offset,GAT,2,0.9684727883001678,0.9757246376811595,0.9720851883046565,0.9921945652872866,8280,44259
Random Speed Offset,GAT,2,0.9669307179680624,0.9161305694543722,0.9408454150608674,0.9673566972638104,8394,44259
Reversed Heading,GAT,2,0.9631932355135538,0.9368650217706821,0.9498467198038013,0.9757308470966545,8268,44259
Sudden Constant Speed,GAT,2,0.6234218545929473,0.9115213239974539,0.7404343329886246,0.8901587137759451,1571,44259
Sudden Stop,GAT,2,0.8648255813953488,0.7550761421319797,0.8062330623306233,0.8258042776920093,3940,44259
Time Delay,GAT,2,0.08967391304347826,0.0038018433179723503,0.007294429708222812,0.1870700708002262,8680,44259
Traffic Congestion Sybil,GAT,2,0.9911369269672767,0.998788949161095,0.994948225595657,0.9998259279739719,39635,83894
Zero Speed Report,GAT,2,0.9687462863933453,0.9693222354340071,0.9690341753343239,0.9967351815829609,8410,44259
Acceleration Multiplication,RAVEN-X,2,0.8016830294530154,0.6958850742634527,0.7450469238790407,0.8398450252371288,4107,44259
Constant Position Offset,RAVEN-X,2,0.9311389615755405,0.7762342135476464,0.8466595704714796,0.8724289317394459,8710,44259
Constant Speed Offset,RAVEN-X,2,0.9615614181687955,0.9050561797752809,0.932453550963709,0.9787193425173789,8900,44259
Data Replay,RAVEN-X,2,0.9111929307805596,0.7076518357543178,0.7966265370501513,0.8702595652494147,8743,44259
DoS,RAVEN-X,2,0.9626365879450124,1.0,0.9809626436781609,0.9999866408073275,8193,44259
Feigned Braking,RAVEN-X,2,0.8461120174007613,0.8901601830663616,0.867577362698634,0.9429020514858865,3496,44259
Position Mirroring,RAVEN-X,2,0.9089686098654709,0.421501351632356,0.575934081545674,0.7130312270283327,9618,44259
Random Position Offset,RAVEN-X,2,0.9476948279897028,0.9781400966183574,0.9626768096992749,0.9950926381429067,8280,44259
Random Speed Offset,RAVEN-X,2,0.9522938018545632,0.9298308315463426,0.9409282700421941,0.9819261311150116,8394,44259
Reversed Heading,RAVEN-X,2,0.9514324357555638,0.9358974358974359,0.9436009999390281,0.9835137195822562,8268,44259
Sudden Constant Speed,RAVEN-X,2,0.6340562990309183,0.8746021642266073,0.7351524879614767,0.8921994993598454,1571,44259
Sudden Stop,RAVEN-X,2,0.8456600614010605,0.7690355329949239,0.805529708892729,0.8779657931373851,3940,44259
Time Delay,RAVEN-X,2,0.1752988047808765,0.010138248847926268,0.01916793726856894,0.19253621218420475,8680,44259
Traffic Congestion Sybil,RAVEN-X,2,0.9878565729104328,0.9995458559354107,0.993666838059168,0.9997337199474072,39635,83894
Zero Speed Report,RAVEN-X,2,0.9584573265087489,0.9574316290130797,0.9579442032002855,0.9959140588186892,8410,44259
